,Id,date,pounds,id,number,street,city,company,state,zip,lat,lon,month,weekday,size,type
351,404,2017-06-21,40.0,40,901,Market Street,San Francisco,DoorDash,California,94103,37.783438000000004,-122.407991,6,Wednesday,500.0,food
352,405,2017-06-21,3.0,51,500,Arguello Street,Redwood City,GoFundMe,California,94063,37.4876453,-122.2333807,6,Wednesday,500.0,other
353,406,2017-06-21,100.0,66,475,Sansome Street,San Francisco,Twitch,California,94111,37.794573299999996,-122.40194029999999,6,Wednesday,1000.0,comm
354,407,2017-06-21,85.0,72,225,Bush Street,San Francisco,Twitch,California,94104,37.790841,-122.40128020000002,6,Wednesday,1000.0,comm
355,408,2017-06-21,50.0,64,116,New Montgomery Street,San Francisco,Opendoor,California,94105,37.787072200000004,-122.40045090000001,6,Wednesday,1000.0,fin
356,409,2017-06-21,20.0,58,580,Howard Street,San Francisco,Braze SF Office,California,94105,37.7872576,-122.3980628,6,Wednesday,200.0,comm
359,412,2017-06-21,35.0,30,989,Market Street,San Francisco,Lever,California,94103,37.782315999999994,-122.4095923,6,Wednesday,200.0,soft
368,424,2017-06-22,30.0,51,500,Arguello Street,Redwood City,GoFundMe,California,94063,37.4876453,-122.2333807,6,Thursday,500.0,other
369,425,2017-06-22,50.0,64,116,New Montgomery Street,San Francisco,Opendoor,California,94105,37.787072200000004,-122.40045090000001,6,Thursday,1000.0,fin
370,426,2017-06-22,5.0,66,475,Sansome Street,San Francisco,Twitch,California,94111,37.794573299999996,-122.40194029999999,6,Thursday,1000.0,comm
372,429,2017-06-22,35.0,159,326,Commercial Street,San Jose,fresh approach,California,95112,37.360791600000006,-121.8991962,6,Thursday,50.0,food
375,432,2017-06-22,35.0,30,989,Market Street,San Francisco,Lever,California,94103,37.782315999999994,-122.4095923,6,Thursday,200.0,soft
376,433,2017-06-22,40.0,216,185,Clara Street,San Francisco,Vungle SF,California,94107,37.779775799999996,-122.4018327,6,Thursday,200.0,bus
377,434,2017-06-22,15.0,218,785,Broadway,Redwood City,Pierry Inc.,California,94063,37.485932,-122.20936299999998,6,Thursday,200.0,bus
378,436,2017-06-21,20.0,224,600,Townsend Street,San Francisco,Pagerduty,California,94103,37.7717038,-122.40263390000001,6,Wednesday,500.0,bus
379,438,2017-06-21,10.72,17,233,5th Avenue,New York,ZeroCater,New York,10016,40.74402979999999,-73.98726459999999,6,Wednesday,200.0,food
380,439,2017-06-21,75.0,23,1121,Industrial Road,San Carlos,EAT Club,California,94070,37.5029256,-122.2468882,6,Wednesday,1000.0,food
381,440,2017-06-23,55.0,64,116,New Montgomery Street,San Francisco,Opendoor,California,94105,37.787072200000004,-122.40045090000001,6,Friday,1000.0,fin
